date,model,dataset,loss_function,epoch,step, train_loss, valid_loss,time
2018-05-15_12-03-05,fcrn,nyudepth,BerHu, 0/2515, 333/1000000, 184565.921875, -1.000000, 145.185322
2018-05-23_12-21-35,fcrn,kittidepth,BerHu, 0/0, 100/100, 19227.546875, -1.000000, 74.515247
2018-05-31_10-53-27,fcrn,kitticontinuous_residential,BerHu, 0/0, 10/10, 36090.109375, -1.000000, 17.009834
2018-05-31_11-08-37,fcrn,kitticontinuous_residential,BerHu, 0/1, 26/100, 20420.087891, -1.000000, 28.851717
2018-05-31_11-14-46,fcrn,kitticontinuous_residential,BerHu, 1/1, 100/100, 9568.046875, 44702.813305, 80.860208
2018-05-31_11-26-38,fcrn,kitticontinuous_residential,BerHu, 104/104, 10000/10000, 3391.749756, 13892.883960, 6927.721551
2018-06-04_13-27-49,fcrn,kitticontinuous_residential,BerHu, 100/104, 9602/10000, 2611.045410, 13390.300308, 9913.057665
2018-06-08_13-40-46,fcrn,nyudepth,BerHu, 1/50, 206/10000, 27216.683594, 159104.759987, 222.954616
2018-06-08_13-45-24,fcrn,kitticontinuous_residential,BerHu, 1/104, 105/10000, 24647.937500, 35051.314413, 82.854776
2018-06-08_17-03-46,fcrn,nyudepth,BerHu, 8/25, 1604/5000, 19659.132812, 337790.935828, 1405.738432
2018-06-08_17-29-43,fcrn,kittidepth,BerHu, 6/6, 150000/150000, 16524.023438, 37412.594268, 97880.790743
2018-06-09_20-41-54,fcrn,kitticontinuous,BerHu, 23/23, 150000/150000, 19961.527344, 17386.858490, 113749.049190
2018-06-11_04-18-35,fcrn,kitti_discrete,BerHu, 4/23, 26737/150000, 7953.627930, 3974.322006, 20660.305528
2018-06-11_10-35-55,fcrn,kitti_discrete,BerHu, 0/0, 10/10, 15105.341797, -1.000000, 16.435141
2018-06-11_10-44-44,fcrn,kitti_discrete,BerHu, 0/0, 10/10, 20861.796875, -1.000000, 16.432751
2018-06-11_18-14-03,fcrn,kitticontinuous,BerHu, 11/23, 72333/150000, 34142.523438, 21700.939738, 54425.080652
2018-06-12_10-18-57,fcrn,kitti_discrete,BerHu, 0/0, 10/10, 14746.631836, -1.000000, 11.996106
2018-06-12_10-25-41,fcrn,kitticontinuous_city,BerHu, 1/90, 1871/150000, 9791.543945, 32599.798788, 701.263280
2018-06-12_14-11-05,fcrn,kitticontinuous_residential,BerHu, 0/0, 502/1000, 14806.552734, -1.000000, 606.964169
2018-06-12_14-41-07,fcrn,kitticontinuous_residential,BerHu, 0/0, 523/1000, 97299.460938, -1.000000, 336.746412
2018-06-12_14-47-29,fcrn,kittidepth,BerHu, 0/0, 117/1000, 40472.632812, -1.000000, 83.157726
2018-06-12_10-56-52,fcrn,kitticontinuous_city,BerHu, 30/45, 51226/75000, 3094.268799, 19652.972447, 12321.283046
2018-06-12_15-15-09,fcrn,kittidepth,BerHu, 0/6, 9867/150000, 31311.630859, -1.000000, 4335.283093
2018-06-12_16-28-27,fcrn,kittidepth,BerHu, 6/6, 150000/150000, 22500.216797, 67400.240064, 43967.945964
2018-06-13_04-41-38,fcrn,kitticontinuous,BerHu, 23/23, 150000/150000, 5523.174805, 19370.175018, 47213.391637
2018-06-14_10-42-10,fcrn,kitti_discrete,BerHu, 23/23, 150000/150000, 7100.173828, 5048.230983, 41551.613505
2018-06-15_09-32-31,fcrn,nyudepth,BerHu, 93/754, 18533/150000, 20834.958984, 287052.678971, 5192.002157
2018-06-15_12-13-22,fcrn,kitticontinuous_campus,BerHu, 4/4, 1000/1000, 17508.912109, 47495.282211, 643.359460
2018-06-15_12-26-04,fcrn,kitticontinuous_campus,BerHu, 4/4, 1000/1000, 17623.511719, 41788.750961, 642.913834
2018-06-15_11-01-06,fcrn,kittidepth,BerHu, 1/6, 27923/150000, 50369.417969, 78934.589699, 10854.180852
2018-06-15_14-02-31,fcrn,kittidepth,BerHu, 6/6, 150000/150000, 57988.554688, 77255.883649, 42644.809722
2018-06-16_14-00-24,fcrn,kittidepth,BerHu, 6/6, 150000/150000, 58118.609375, 77148.591349, 46159.915580
2018-06-17_02-50-27,fcrn,kitti_discrete,BerHu, 23/23, 150000/150000, 21673.716797, 10326.294798, 44876.632472
2018-06-17_15-18-47,fcrn,kitticontinuous,BerHu, 23/23, 150000/150000, 61403.207031, 47405.665700, 62397.832210
2018-06-18_17-26-54,fcrn,nyudepth,BerHu, 377/377, 75000/75000, 1354.895020, 291340.602900, 59385.896378
2018-06-19_10-25-13,fcrn,nyudepth,BerHu, 10/377, 2026/75000, 102037.796875, 97689312.128440, 1584.000587
2018-06-21_11-53-28,fcrn,kittidepth,BerHu, 0/6, 9665/150000, 38848.523438, 13744.925793, 8666.855797
2018-06-24_10-41-13,fcrn,kittidepth,BerHu, 6/6, 150000/150000, 18733.781250, 5235.829148, 141042.217273
2018-06-28_00-40-03,fcrn,kittidepth,BerHu, 3/6, 70001/150000, 17992.138672, 5226.072533, 63103.172562
2018-06-29_10-26-51,fcrn,nyudepth,BerHu, 5/377, 1127/75000, 97801.367188, 30244.248664, 703.226058
2018-06-29_10-43-52,fcrn,kitticontinuous,BerHu, 2/23, 14862/150000, 88698.007812, 2058527241.645743, 11324.943933
2018-06-29_11-48-17,fcrn,kitticontinuous,BerHu, 0/11, 5315/75000, 495235.156250, 140583.668534, 7415.956071
2018-06-29_17-59-58,fcrn,kitticontinuous,BerHu, 11/11, 75000/75000, 92889.351562, 31935.213123, 106094.355183
